licno,place_id,name_tc,place_name_tc,name_en,place_name_en,adr_tc,place_adr_tc,adr_en,place_adr_en
2263802478,EjXoiJYg5aCF6KiY54eSLCA0MSBTaGVrIEtpcCBNZWkgU3QsIFRvbmcgTWksIEhvbmcgS29uZyIpGicKFgoUChIJAZKSGbUABDQR3axRQ0qo7WASDeiIliDloIXoqJjnh5I,堅記燒味小廚,石硤尾街41號舖 堅記燒,堅記燒味小廚,"舖 堅記燒, 41 Shek Kip Mei St",九龍深水埗石硤尾街41號地下B舖 堅記燒味小廚,香港塘尾石硤尾街41號舖 堅記燒,"堅記燒味小廚, SHOP B, G/F, 41 SHEK KIP MEI STREET, SHAM SHUI PO, KOWLOON","舖 堅記燒, 41 Shek Kip Mei St, Tong Mi, Hong Kong"
2263802566,ChIJX1-890wHBDQRTtw9etd3Nok,元朗冰室,元朗冰室,Yuen Long Bistro,Yuen Long Bistro,九龍深水埗元洲街1號地下 元朗冰室,香港長沙灣東沙島街167號,"Yuen Long Bistro, G/F, 1 UN CHAU STREET, SHAM SHUI PO, KOWLOON","167 Pratas St, Cheung Sha Wan, Hong Kong"
2263802566,ChIJYXFxGLUABDQR9TCPK94HALE,元朗冰室,元朗冰室,Yuen Long Bistro,Yuen Long Bistro,九龍深水埗元洲街1號地下 元朗冰室,香港塘尾元州街1號,"Yuen Long Bistro, G/F, 1 UN CHAU STREET, SHAM SHUI PO, KOWLOON","1 Un Chau St, Tong Mi, Hong Kong"
2263802618,ChIJ0Q0Ip6z4AzQR6ozKMGMpnnU,美味佳茶餐廳,百老匯街11號,美味佳茶餐廳,11 Broadway,九龍美孚新邨百老滙街11號平台27號舖 美味佳茶餐廳,香港荔枝角百老匯街11號,"美味佳茶餐廳, SHOP 27, PODIUM FLOOR, 11 BROADWAY STREET, MEI FOO SUN CHUEN, KOWLOON","11 Broadway, Lai Chi Kok, Hong Kong"
2263802636,EijlrqQsIEcsIDE2IEZ1ayBXYSBTdCwgVG9uZyBNaSwgSG9uZyBLb25nIiIaIAoWChQKEgkxEh-htQAENBG88GLfCyfrRRIG5a6kLCBH,濠景冰室,"福華街16號室, G",濠景冰室,"室, G, 16 Fuk Wa St",九龍深水埗福華街16號地下 濠景冰室,"香港塘尾福華街16號室, G","濠景冰室, G/F, 16 FUK WA STREET, SHAM SHUI PO, KOWLOON","室, G, 16 Fuk Wa St, Tong Mi, Hong Kong"
2263802636,EjXlnLDkuIsg5r-g5pmv5YawLCAxNi0yNCBGdWsgV2EgU3QsIFRvbmcgTWksIEhvbmcgS29uZyIsGioKFgoUChIJu3X7oLUABDQR-W_hQwUOsHESEOWcsOS4iyDmv6Dmma_lhrA,濠景冰室,福華街16-24號地下 濠景冰,濠景冰室,"地下 濠景冰, 16-24 Fuk Wa St",九龍深水埗福華街16號地下 濠景冰室,香港塘尾福華街16-24號地下 濠景冰,"濠景冰室, G/F, 16 FUK WA STREET, SHAM SHUI PO, KOWLOON","地下 濠景冰, 16-24 Fuk Wa St, Tong Mi, Hong Kong"
2263802751,EjxHLCBXaW5nIFlpcCBCdWlsZGluZywgMTkzQSBDYXN0bGUgUGVhayBSZCwgT20gWWF1LCBIb25nIEtvbmciHRobChYKFAoSCSFHrldMBwQ0ES4GjysapYwYEgFH,客家人,青山道193A號G,Hakka Kitchen,"G, 193A Castle Peak Rd",九龍深水埗青山道193A號地下B舖 客家人,香港菴由青山道193A號永業大廈G,"Hakka Kitchen, SHOP B, G/F, 193A CASTLE PEAK ROAD, SHAM SHUI PO, KOWLOON","G, Wing Yip Building, 193A Castle Peak Rd, Om Yau, Hong Kong"
2263802751,EjxGLCBXaW5nIFlpcCBCdWlsZGluZywgMTkzQSBDYXN0bGUgUGVhayBSZCwgT20gWWF1LCBIb25nIEtvbmciHRobChYKFAoSCSFHrldMBwQ0ES4GjysapYwYEgFG,客家人,青山道193A號F,Hakka Kitchen,"F, 193A Castle Peak Rd",九龍深水埗青山道193A號地下B舖 客家人,香港菴由青山道193A號永業大廈F,"Hakka Kitchen, SHOP B, G/F, 193A CASTLE PEAK ROAD, SHAM SHUI PO, KOWLOON","F, Wing Yip Building, 193A Castle Peak Rd, Om Yau, Hong Kong"
2263802751,ChIJIUeuV0wHBDQRLgaPKxqljBg,客家人,永業大廈,Hakka Kitchen,Wing Yip Building,九龍深水埗青山道193A號地下B舖 客家人,香港菴由青山道193A號永業大廈,"Hakka Kitchen, SHOP B, G/F, 193A CASTLE PEAK ROAD, SHAM SHUI PO, KOWLOON","Wing Yip Building, 193A Castle Peak Rd, Om Yau, Hong Kong"
2263802812,ChIJYRUOdKsABDQRf1mCOYIbAFo,板長壽司／自家烏冬,AEON荔枝角店,Itacho Sushi / Jika Udon,AEON Lai Chi Kok Store,九龍深盛路8號碧海藍天永旺荔枝角店地下L006號舖 板長壽司／自家烏冬,"九龍深盛路8號碧海藍天地下至二樓, Cheung Sha Wan, 香港","Itacho Sushi / Jika Udon, SHOP L006, G/F, AEON LAI CHI KOK STORE, AQUAMARINE, 8 SHAM SHING ROAD, KOWLOON","九龍深盛路8號碧海藍天地下至二樓, Cheung Sha Wan, Hong Kong"
2263802812,ChIJp3lCEKsABDQR0qY1E9DHbGg,板長壽司／自家烏冬,深盛路8號,Itacho Sushi / Jika Udon,8 Sham Shing Rd,九龍深盛路8號碧海藍天永旺荔枝角店地下L006號舖 板長壽司／自家烏冬,香港長沙灣深盛路8號,"Itacho Sushi / Jika Udon, SHOP L006, G/F, AEON LAI CHI KOK STORE, AQUAMARINE, 8 SHAM SHING ROAD, KOWLOON","8 Sham Shing Rd, Cheung Sha Wan, Hong Kong"
2263802867,ChIJS3n_CLMABDQRMdFr-oQ1J9A,深水埗咖喱,深水埗咖哩,Shaan Indian Restaurant,Shaan Curry and Kebab,九龍深水埗欽州街56號明輝大廈地下B鋪 深水埗咖喱,香港深水埗欽州街56號,"Shaan Indian Restaurant, SHOP NO. B, G/F, MING FAI BUILDING, 56 YEN CHOW STREET, SHAM SHUI PO, KOWLOON","56 Yen Chow St, Sham Shui Po, Hong Kong"
2263802867,ChIJeYd-qLMABDQR2UqRZdUx-cE,深水埗咖喱,欽州街56號,Shaan Indian Restaurant,56 Yen Chow St,九龍深水埗欽州街56號明輝大廈地下B鋪 深水埗咖喱,香港深水埗欽州街56號,"Shaan Indian Restaurant, SHOP NO. B, G/F, MING FAI BUILDING, 56 YEN CHOW STREET, SHAM SHUI PO, KOWLOON","56 Yen Chow St, Sham Shui Po, Hong Kong"
2263802894,ChIJOQNnbasABDQRp0FcX9YTwI0,鳴門 / 龍德樓,Aqua Marine,NARUTO / DRAGON HOUSE,碧海藍天,九龍荔枝角 深盛路8號 碧海藍天 地下L005號舖 鳴門 / 龍德樓,香港長沙灣深盛路8號,"NARUTO / DRAGON HOUSE, SHOP L005, G/F, AQUA MARINE, 8 SHAM SHING ROAD, LAI CHI KOK, KOWLOON","8 Sham Shing Rd, Cheung Sha Wan, Hong Kong"
